IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,Standard,Standard to UTC,Daylight_20150308_0200,Daylight to UTC
ACK,Nantucket Memorial Airport,Nantucket,MA,USA,41.25305,-70.06018,CST,UTC -6,CDT,UTC -5
AEX,Alexandria International Airport,Alexandria,LA,USA,31.32737,-92.54856,CST,UTC -6,CDT,UTC -5
ATW,Appleton International Airport,Appleton,WI,USA,44.25741,-88.51948,CST,UTC -6,CDT,UTC -5
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,USA,33.56294,-86.75355,CST,UTC -6,CDT,UTC -5
BJI,Bemidji Regional Airport,Bemidji,MN,USA,47.50942,-94.93372,CST,UTC -6,CDT,UTC -5
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,USA,40.47799,-88.91595,CST,UTC -6,CDT,UTC -5
BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,USA,42.36435,-71.00518,CST,UTC -6,CDT,UTC -5
BRD,Brainerd Lakes Regional Airport,Brainerd,MN,USA,46.39786,-94.13723,CST,UTC -6,CDT,UTC -5
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,LA,USA,30.53316,-91.14963,CST,UTC -6,CDT,UTC -5
BWI,Baltimore-Washington International Airport,Baltimore,MD,USA,39.1754,-76.6682,CST,UTC -6,CDT,UTC -5
CMI,University of Illinois - Willard Airport,Champaign/Urbana,IL,USA,40.03925,-88.27806,CST,UTC -6,CDT,UTC -5
COU,Columbia Regional Airport,Columbia,MO,USA,38.81809,-92.21963,CST,UTC -6,CDT,UTC -5
CRW,Yeager Airport,Charleston,WV,USA,38.37315,-81.59319,CST,UTC -6,CDT,UTC -5
CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY,USA,39.04614,-84.66217,CST,UTC -6,CDT,UTC -5
CWA,Central Wisconsin Airport,Mosinee,WI,USA,44.77762,-89.66678,CST,UTC -6,CDT,UTC -5
DHN,Dothan Regional Airport,Dothan,AL,USA,31.32134,-85.44963,CST,UTC -6,CDT,UTC -5
DLH,Duluth International Airport,Duluth,MN,USA,46.84209,-92.19365,CST,UTC -6,CDT,UTC -5
EAU,Chippewa Valley Regional Airport,Eau Claire,WI,USA,44.86526,-91.48507,CST,UTC -6,CDT,UTC -5
EUG,Eugene Airport (Mahlon Sweet Field),Eugene,OR,USA,44.12326,-123.21869,CST,UTC -6,CDT,UTC -5
EVV,Evansville Regional Airport,Evansville,IN,USA,38.03799,-87.53063,CST,UTC -6,CDT,UTC -5
FLG,Flagstaff Pulliam Airport,Flagstaff,AZ,USA,35.13845,-111.67122,CST,UTC -6,CDT,UTC -5
FSM,Fort Smith Regional Airport,Fort Smith,AR,USA,35.33659,-94.36744,CST,UTC -6,CDT,UTC -5
FWA,Fort Wayne International Airport,Fort Wayne,IN,USA,40.97847,-85.19515,CST,UTC -6,CDT,UTC -5
GCK,Garden City Regional Airport,Garden City,KS,USA,37.92752,-100.72441,CST,UTC -6,CDT,UTC -5
GPT,Gulfport-Biloxi International Airport,Gulfport-Biloxi,MS,USA,30.40728,-89.07009,CST,UTC -6,CDT,UTC -5
GRB,Green Bay-Austin Straubel International Airport,Green Bay,WI,USA,44.48507,-88.12959,CST,UTC -6,CDT,UTC -5
GTR,Golden Triangle Regional Airport,Columbus-Starkville-West Point,MS,USA,33.45033,-88.59137,CST,UTC -6,CDT,UTC -5
HIB,Range Regional Airport (Chisholm-Hibbing Airport),Hibbing,MN,USA,47.3866,-92.83899,CST,UTC -6,CDT,UTC -5
HSV,Huntsville International Airport,Huntsville,AL,USA,34.64045,-86.77311,CST,UTC -6,CDT,UTC -5
HYA,Barnstable Municipal Airport,Hyannis,MA,USA,41.66934,-70.28036,CST,UTC -6,CDT,UTC -5
HYS,Hays Regional Airport,Hays,KS,USA,38.84494,-99.27403,CST,UTC -6,CDT,UTC -5
ICT,Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),Wichita,KS,USA,37.64996,-97.43305,CST,UTC -6,CDT,UTC -5
IND,Indianapolis International Airport,Indianapolis,IN,USA,39.71733,-86.29438,CST,UTC -6,CDT,UTC -5
INL,Falls International Airport,International Falls,MN,USA,48.56619,-93.40307,CST,UTC -6,CDT,UTC -5
JAN,Jackson-Evers International Airport,Jackson,MS,USA,32.31117,-90.07589,CST,UTC -6,CDT,UTC -5
JLN,Joplin Regional Airport,Joplin,MO,USA,37.15181,-94.49827,CST,UTC -6,CDT,UTC -5
LAW,Lawton-Fort Sill Regional Airport,Lawton,OK,USA,34.56771,-98.41664,CST,UTC -6,CDT,UTC -5
LCH,Lake Charles Regional Airport,Lake Charles,LA,USA,30.1261,-93.2234,CST,UTC -6,CDT,UTC -5
LEX,Blue Grass Airport,Lexington,KY,USA,38.03697,-84.60539,CST,UTC -6,CDT,UTC -5
LFT,Lafayette Regional Airport,Lafayette,LA,USA,30.20528,-91.98766,CST,UTC -6,CDT,UTC -5
LIT,Bill and Hillary Clinton National Airport (Adams Field),Little Rock,AR,USA,34.7294,-92.22425,CST,UTC -6,CDT,UTC -5
LSE,La Crosse Regional Airport,La Crosse,WI,USA,43.87938,-91.25654,CST,UTC -6,CDT,UTC -5
MCI,Kansas City International Airport,Kansas City,MO,USA,39.29761,-94.71391,CST,UTC -6,CDT,UTC -5
MDW,Chicago Midway International Airport,Chicago,IL,USA,41.78598,-87.75242,CST,UTC -6,CDT,UTC -5
MEI,Meridian Regional Airport,Meridian,MS,USA,32.33313,-88.75121,CST,UTC -6,CDT,UTC -5
MFR,Rogue Valley International Airport,Medford,OR,USA,42.37423,-122.8735,CST,UTC -6,CDT,UTC -5
MGM,Montgomery Regional Airport,Montgomery,AL,USA,32.30064,-86.39398,CST,UTC -6,CDT,UTC -5
MHK,Manhattan Regional Airport,Manhattan,KS,USA,39.14097,-96.67083,CST,UTC -6,CDT,UTC -5
MKE,General Mitchell International Airport,Milwaukee,WI,USA,42.94722,-87.89658,CST,UTC -6,CDT,UTC -5
MLI,Quad City International Airport,Moline,IL,USA,41.44853,-90.50754,CST,UTC -6,CDT,UTC -5
MLU,Monroe Regional Airport,Monroe,LA,USA,32.51087,-92.03769,CST,UTC -6,CDT,UTC -5
MOB,Mobile Regional Airport,Mobile,AL,USA,30.69142,-88.24283,CST,UTC -6,CDT,UTC -5
MSN,Dane County Regional Airport,Madison,WI,USA,43.13986,-89.33751,CST,UTC -6,CDT,UTC -5
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,USA,44.88055,-93.21692,CST,UTC -6,CDT,UTC -5
MSY,Louis Armstrong New Orleans International Airport,New Orleans,LA,USA,29.99339,-90.25803,CST,UTC -6,CDT,UTC -5
MVY,Martha's Vineyard Airport,Marthas Vineyard,MA,USA,41.39303,-70.61433,CST,UTC -6,CDT,UTC -5
OKC,Will Rogers World Airport,Oklahoma City,OK,USA,35.39309,-97.60073,CST,UTC -6,CDT,UTC -5
ORD,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446,CST,UTC -6,CDT,UTC -5
ORH,Worcester Regional Airport,Worcester,MA,USA,42.26734,-71.87571,CST,UTC -6,CDT,UTC -5
OTH,Southwest Oregon Regional Airport (North Bend Municipal),North Bend,OR,USA,43.41714,-124.24603,CST,UTC -6,CDT,UTC -5
PAH,Barkley Regional Airport,Paducah,KY,USA,37.06083,-88.77375,CST,UTC -6,CDT,UTC -5
PDX,Portland International Airport,Portland,OR,USA,45.58872,-122.5975,CST,UTC -6,CDT,UTC -5
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,USA,33.43417,-112.00806,CST,UTC -6,CDT,UTC -5
PIA,General Wayne A. Downing Peoria International Airport,Peoria,IL,USA,40.66424,-89.69331,CST,UTC -6,CDT,UTC -5
PIB,Hattiesburg-Laurel Regional Airport,Hattiesburg-Laurel,MS,USA,31.46715,-89.33706,CST,UTC -6,CDT,UTC -5
PPG,Pago Pago International Airport (Tafuna Airport),Pago Pago,AS,USA,14.33102,-170.71053,CST,UTC -6,CDT,UTC -5
RDM,Redmond Municipal Airport (Roberts Field),Redmond,OR,USA,44.25407,-121.14996,CST,UTC -6,CDT,UTC -5
RHI,Rhinelander-Oneida County Airport,Rhinelander,WI,USA,45.63119,-89.46745,CST,UTC -6,CDT,UTC -5
RST,Rochester International Airport,Rochester,MN,USA,43.90883,-92.49799,CST,UTC -6,CDT,UTC -5
SBN,South Bend International Airport (South Bend Regional),South Bend,IN,USA,41.70895,-86.31847,CST,UTC -6,CDT,UTC -5
SDF,Louisville International Airport (Standiford Field),Louisville,KY,USA,38.17439,-85.736,CST,UTC -6,CDT,UTC -5
SGF,Springfield-Branson National Airport,Springfield,MO,USA,37.24433,-93.38686,CST,UTC -6,CDT,UTC -5
SHV,Shreveport Regional Airport,Shreveport,LA,USA,32.44663,-93.8256,CST,UTC -6,CDT,UTC -5
SPI,Abraham Lincoln Capital Airport,Springfield,IL,USA,39.84395,-89.67762,CST,UTC -6,CDT,UTC -5
STC,St. Cloud Regional Airport,St Cloud,MN,USA,45.54532,-94.05834,CST,UTC -6,CDT,UTC -5
STL,St. Louis International Airport at Lambert Field,St Louis,MO,USA,38.74769,-90.35999,CST,UTC -6,CDT,UTC -5
TUL,Tulsa International Airport,Tulsa,OK,USA,36.19837,-95.88824,CST,UTC -6,CDT,UTC -5
TUS,Tucson International Airport,Tucson,AZ,USA,32.11608,-110.94103,CST,UTC -6,CDT,UTC -5
TXK,Texarkana Regional Airport (Webb Field),Texarkana,AR,USA,33.45371,-93.99102,CST,UTC -6,CDT,UTC -5
XNA,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers,AR,USA,36.28187,-94.30681,CST,UTC -6,CDT,UTC -5
YUM,Yuma International Airport,Yuma,AZ,USA,32.65658,-114.60597,CST,UTC -6,CDT,UTC -5
ABE,Lehigh Valley International Airport,Allentown,PA,USA,40.65236,-75.4404,EST,UTC -5,EDT,UTC -4
ABI,Abilene Regional Airport,Abilene,TX,USA,32.41132,-99.6819,EST,UTC -5,EDT,UTC -4
ABR,Aberdeen Regional Airport,Aberdeen,SD,USA,45.44906,-98.42183,EST,UTC -5,EDT,UTC -4
ABY,Southwest Georgia Regional Airport,Albany,GA,USA,31.53552,-84.19447,EST,UTC -5,EDT,UTC -4
ACT,Waco Regional Airport,Waco,TX,USA,31.61129,-97.23052,EST,UTC -5,EDT,UTC -4
ACY,Atlantic City International Airport,Atlantic City,NJ,USA,39.45758,-74.57717,EST,UTC -5,EDT,UTC -4
AGS,Augusta Regional Airport (Bush Field),Augusta,GA,USA,33.36996,-81.9645,EST,UTC -5,EDT,UTC -4
ALB,Albany International Airport,Albany,NY,USA,42.74812,-73.80298,EST,UTC -5,EDT,UTC -4
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,USA,35.21937,-101.70593,EST,UTC -5,EDT,UTC -4
APN,Alpena County Regional Airport,Alpena,MI,USA,45.07807,-83.56029,EST,UTC -5,EDT,UTC -4
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694,EST,UTC -5,EDT,UTC -4
AUS,Austin-Bergstrom International Airport,Austin,TX,USA,30.19453,-97.66987,EST,UTC -5,EDT,UTC -4
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA,USA,41.33815,-75.72427,EST,UTC -5,EDT,UTC -4
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,USA,42.23488,-85.55206,EST,UTC -5,EDT,UTC -4
BDL,Bradley International Airport,Windsor Locks,CT,USA,41.93887,-72.68323,EST,UTC -5,EDT,UTC -4
BGM,Greater Binghamton Airport,Binghamton,NY,USA,42.20848,-75.97961,EST,UTC -5,EDT,UTC -4
BGR,Bangor International Airport,Bangor,ME,USA,44.80744,-68.82814,EST,UTC -5,EDT,UTC -4
BNA,Nashville International Airport,Nashville,TN,USA,36.12448,-86.67818,EST,UTC -5,EDT,UTC -4
BPT,Jack Brooks Regional Airport (Southeast Texas Regional),Beaumont/Port Arthur,TX,USA,29.95083,-94.02069,EST,UTC -5,EDT,UTC -4
BQK,Brunswick Golden Isles Airport,Brunswick,GA,USA,31.25903,-81.46631,EST,UTC -5,EDT,UTC -4
BQN,Rafael Hernández Airport,Aguadilla,PR,USA,18.49486,-67.12944,EST,UTC -5,EDT,UTC -4
BRO,Brownsville/South Padre Island International Airport,Brownsville,TX,USA,25.90683,-97.42586,EST,UTC -5,EDT,UTC -4
BTV,Burlington International Airport,Burlington,VT,USA,44.473,-73.15031,EST,UTC -5,EDT,UTC -4
BUF,Buffalo Niagara International Airport,Buffalo,NY,USA,42.94052,-78.73217,EST,UTC -5,EDT,UTC -4
CAE,Columbia Metropolitan Airport,Columbia,SC,USA,33.93884,-81.11954,EST,UTC -5,EDT,UTC -4
CAK,Akron-Canton Regional Airport,Akron,OH,USA,40.91631,-81.44247,EST,UTC -5,EDT,UTC -4
CHA,Chattanooga Metropolitan Airport (Lovell Field),Chattanooga,TN,USA,35.03527,-85.20379,EST,UTC -5,EDT,UTC -4
CHS,Charleston International Airport/Charleston AFB,Charleston,SC,USA,32.89865,-80.04051,EST,UTC -5,EDT,UTC -4
CIU,Chippewa County International Airport,Sault Ste. Marie,MI,USA,46.25075,-84.47239,EST,UTC -5,EDT,UTC -4
CLE,Cleveland Hopkins International Airport,Cleveland,OH,USA,41.41089,-81.8494,EST,UTC -5,EDT,UTC -4
CLL,Easterwood Airport,College Station,TX,USA,30.58859,-96.36382,EST,UTC -5,EDT,UTC -4
CMH,Port Columbus International Airport,Columbus,OH,USA,39.99799,-82.89188,EST,UTC -5,EDT,UTC -4
CMX,Houghton County Memorial Airport,Hancock,MI,USA,47.16842,-88.48906,EST,UTC -5,EDT,UTC -4
CRP,Corpus Christi International Airport,Corpus Christi,TX,USA,27.77036,-97.50122,EST,UTC -5,EDT,UTC -4
CSG,Columbus Metropolitan Airport,Columbus,GA,USA,32.51633,-84.93886,EST,UTC -5,EDT,UTC -4
DAB,Daytona Beach International Airport,Daytona Beach,FL,USA,29.17992,-81.05806,EST,UTC -5,EDT,UTC -4
DAL,Dallas Love Field,Dallas,TX,USA,32.84711,-96.85177,EST,UTC -5,EDT,UTC -4
DAY,James M. Cox Dayton International Airport,Dayton,OH,USA,39.90238,-84.21938,EST,UTC -5,EDT,UTC -4
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372,EST,UTC -5,EDT,UTC -4
DTW,Detroit Metropolitan Airport,Detroit,MI,USA,42.21206,-83.34884,EST,UTC -5,EDT,UTC -4
ECP,Northwest Florida Beaches International Airport,Panama City,FL,USA,,,EST,UTC -5,EDT,UTC -4
ELM,Elmira/Corning Regional Airport,Elmira,NY,USA,42.15991,-76.89144,EST,UTC -5,EDT,UTC -4
ELP,El Paso International Airport,El Paso,TX,USA,31.80667,-106.37781,EST,UTC -5,EDT,UTC -4
ERI,Erie International Airport,Erie,PA,USA,42.08202,-80.17622,EST,UTC -5,EDT,UTC -4
ESC,Delta County Airport,Escanaba,MI,USA,45.72267,-87.09373,EST,UTC -5,EDT,UTC -4
EWR,Newark Liberty International Airport,Newark,NJ,USA,40.6925,-74.16866,EST,UTC -5,EDT,UTC -4
EYW,Key West International Airport,Key West,FL,USA,24.55611,-81.75956,EST,UTC -5,EDT,UTC -4
FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,USA,26.07258,-80.15275,EST,UTC -5,EDT,UTC -4
FNT,Bishop International Airport,Flint,MI,USA,42.9655,-83.74346,EST,UTC -5,EDT,UTC -4
FSD,Sioux Falls Regional Airport,Sioux Falls,SD,USA,43.58135,-96.7417,EST,UTC -5,EDT,UTC -4
GGG,East Texas Regional Airport,Longview,TX,USA,32.38486,-94.71171,EST,UTC -5,EDT,UTC -4
GNV,Gainesville Regional Airport,Gainesville,FL,USA,29.69006,-82.27178,EST,UTC -5,EDT,UTC -4
GRK,Killeen-Fort Hood Regional Airport,Killeen,TX,USA,31.0649,-97.8278,EST,UTC -5,EDT,UTC -4
GRR,Gerald R. Ford International Airport,Grand Rapids,MI,USA,42.88082,-85.52277,EST,UTC -5,EDT,UTC -4
GSP,Greenville-Spartanburg International Airport,Greer,SC,USA,34.89567,-82.21886,EST,UTC -5,EDT,UTC -4
GUM,Guam International Airport,Agana,GU,USA,13.48345,-144.79598,EST,UTC -5,EDT,UTC -4
HOU,William P. Hobby Airport,Houston,TX,USA,29.64542,-95.27889,EST,UTC -5,EDT,UTC -4
HPN,Westchester County Airport,White Plains,NY,USA,41.06696,-73.70757,EST,UTC -5,EDT,UTC -4
HRL,Valley International Airport,Harlingen,TX,USA,26.22851,-97.65439,EST,UTC -5,EDT,UTC -4
IAG,Niagara Falls International Airport,Niagara Falls,NY,USA,43.10726,-78.94538,EST,UTC -5,EDT,UTC -4
IAH,George Bush Intercontinental Airport,Houston,TX,USA,29.98047,-95.33972,EST,UTC -5,EDT,UTC -4
ILG,Wilmington Airport,Wilmington,DE,USA,39.67872,-75.60653,EST,UTC -5,EDT,UTC -4
IMT,Ford Airport,Iron Mountain/Kingsford,MI,USA,45.81835,-88.11454,EST,UTC -5,EDT,UTC -4
ISP,Long Island MacArthur Airport,Islip,NY,USA,40.79524,-73.10021,EST,UTC -5,EDT,UTC -4
ITH,Ithaca Tompkins Regional Airport,Ithaca,NY,USA,42.49103,-76.45844,EST,UTC -5,EDT,UTC -4
JAX,Jacksonville International Airport,Jacksonville,FL,USA,30.49406,-81.68786,EST,UTC -5,EDT,UTC -4
JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,USA,40.63975,-73.77893,EST,UTC -5,EDT,UTC -4
LAN,Capital Region International Airport ( Lansing Capital City),Lansing,MI,USA,42.7787,-84.58736,EST,UTC -5,EDT,UTC -4
LBB,Lubbock Preston Smith International Airport,Lubbock,TX,USA,33.66364,-101.82278,EST,UTC -5,EDT,UTC -4
LBE,Arnold Palmer Regional Airport,Latrobe,PA,USA,40.27594,-79.4048,EST,UTC -5,EDT,UTC -4
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,USA,40.77724,-73.87261,EST,UTC -5,EDT,UTC -4
LRD,Laredo International Airport,Laredo,TX,USA,27.54374,-99.46154,EST,UTC -5,EDT,UTC -4
MAF,Midland International Airport,Midland,TX,USA,31.94253,-102.20191,EST,UTC -5,EDT,UTC -4
MBS,MBS International Airport,Saginaw,MI,USA,43.53291,-84.07965,EST,UTC -5,EDT,UTC -4
MCO,Orlando International Airport,Orlando,FL,USA,28.42889,-81.31603,EST,UTC -5,EDT,UTC -4
MDT,Harrisburg International Airport,Harrisburg,PA,USA,40.1935,-76.7634,EST,UTC -5,EDT,UTC -4
MEM,Memphis International Airport,Memphis,TN,USA,35.04242,-89.97667,EST,UTC -5,EDT,UTC -4
